filepath,label_id,label_name,source,split,feature_path
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-51376-A-42.wav,3,sirena,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_17.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\117072-3-0-8.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_18.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\302.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_19.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\76091-6-3-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_20.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\197318-6-5-0.wav,1,disparo,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\24347-8-0-69.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_22.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-70936-A-42.wav,3,sirena,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_23.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\162435-6-2-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_24.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\5-202795-A-3.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\515.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_26.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\74364-8-1-10.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_27.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\208030-3-0-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_28.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\197320-6-3-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_29.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\159738-8-0-5.wav,3,sirena,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\158608-8-0-8.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_31.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\162434-6-2-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_32.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\4-167077-C-20.wav,4,bebe_llorando,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\4_33.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\208030-3-4-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_34.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\169098-7-4-1.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_35.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1394.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_36.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1559.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_37.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\209672-3-6-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_38.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\22601-8-0-9.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_39.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\174289-6-3-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_40.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1062.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_41.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\74364-8-1-22.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_42.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\7064-6-3-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_43.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1257.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_44.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\935.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_45.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\4-189836-A-22.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1089.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_47.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\5-156026-D-4.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold9\136399-6-1-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_49.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\171243-9-0-81.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_50.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1299.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_51.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\167701-4-12-0.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_52.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1038.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_53.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\117271-3-0-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_54.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\633.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_55.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\173993-3-0-25.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_56.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1155.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_57.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\197318-6-1-0.wav,1,disparo,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\725.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_59.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-173559-A-39.wav,0,rotura_cristal,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\0_60.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-79769-A-26.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1056.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_62.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-66637-A-20.wav,4,bebe_llorando,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\4_63.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\173995-3-0-11.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_64.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\135527-6-13-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_65.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\27216-3-0-9.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_66.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\396.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_67.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\148833-6-0-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_68.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold9\157866-8-0-8.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_69.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\160094-3-0-0.wav,2,ladrido_perro,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\213.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_71.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\5-184323-A-42.wav,3,sirena,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_72.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\666.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_73.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\111.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_74.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\104625-4-0-52.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_75.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\146845-0-0-20.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_76.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\4-59579-A-20.wav,4,bebe_llorando,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\4_77.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\33696-3-0-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_78.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold9\174287-6-2-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_79.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\88121-8-2-0.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_80.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-106881-A-39.wav,0,rotura_cristal,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\0_81.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\39857-5-5-0.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_82.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1415.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_83.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\34952-8-0-7.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_84.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\194753-3-1-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_85.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\31325-3-4-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_86.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\5-233605-A-39.wav,0,rotura_cristal,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\0_87.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\162432-6-13-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_88.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\179096-3-0-1.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_89.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\852.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_90.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-123896-A-24.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\190996-3-0-8.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_92.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\135526-6-6-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_93.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\73.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_94.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\7965-3-16-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_95.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\1-101336-A-30.wav,5,llamar_puerta,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\5_96.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\135544-6-2-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_97.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\148632-8-0-16.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_98.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\159750-8-0-3.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_99.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\94636-8-0-18.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_100.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\164053-8-2-0.wav,3,sirena,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\135527-6-14-7.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_102.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\201207-3-0-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_103.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\197318-6-12-0.wav,1,disparo,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\4-187284-A-30.wav,5,llamar_puerta,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\5_105.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\148827-6-4-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_106.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\32318-3-0-1.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_107.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\111671-8-0-15.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_108.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\158608-8-0-9.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_109.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-117615-C-48.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\4-157296-A-24.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1120.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_112.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\24347-8-0-3.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_113.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\76221-2-0-0.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_114.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\748.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_115.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\5-243773-A-44.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1538.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_117.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\66587-3-1-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_118.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\439.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_119.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold4\159751-8-0-6.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_120.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\63261-3-0-1.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_121.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold9\165567-3-4-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_122.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\197318-6-8-0.wav,1,disparo,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\203356-3-0-1.wav,2,ladrido_perro,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\13577-3-5-0.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_125.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\69661-3-0-23.wav,2,ladrido_perro,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_126.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-152007-D-20.wav,4,bebe_llorando,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\4_127.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\3-180977-A-0.wav,2,ladrido_perro,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\2_128.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1232.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_129.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\277.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_130.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold10\83195-9-0-2.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_131.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-70939-A-42.wav,3,sirena,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_132.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\74726-8-0-10.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_133.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\148838-6-1-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_134.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\163460-6-0-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_135.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\197320-6-6-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_136.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold5\17578-5-0-8.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_137.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\951.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_138.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\135544-6-1-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_139.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold7\135527-6-11-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_140.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\4-204121-A-39.wav,0,rotura_cristal,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\0_141.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\4-59579-B-20.wav,4,bebe_llorando,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\4_142.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\audio\2-65750-A-1.wav,7,fondo,esc50,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\145206-6-5-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_144.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\197318-6-9-0.wav,1,disparo,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\14387-9-0-15.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_146.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\444.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_147.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold6\34952-8-0-0.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_148.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold8\157868-8-0-23.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_149.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold3\34708-6-2-0.wav,1,disparo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\1_150.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1114.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_151.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold1\134717-0-0-5.wav,7,fondo,urban,train,
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold9\159748-8-0-7.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_153.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\132073-1-0-0.wav,7,fondo,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\7_154.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_esc50\gritos\1058.wav,6,grito,esc50,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\6_155.npy
C:\Users\andre\Desktop\Clasificacion_Acustica\data_urban\fold2\159747-8-0-5.wav,3,sirena,urban,train,C:\Users\andre\Desktop\Clasificacion_Acustica\features\3_156.npy
